name,frames,litspercls,ctis,queries,time,stdev
counters2.aig,5,2.22,9,115,0.03565,0.00211
counters2\_neg.aig,2,1.00,1,11,0.00206,0.00013
counters3.aig,12,4.95,76,887,1.09227,0.00417
counters3\_neg.aig,1,1.00,0,2,0.00119,0.00018
counters4.aig,20,7.24,753,"7,070",13.04863,0.03549
simple1.aag,0,0.00,0,1,0.00012,0.00001
simple2.aag,1,1.00,0,3,0.00022,0.00002
simple3.aag,3,1.00,0,10,0.00059,0.00006
simple4.aag,2,1.00,0,7,0.00104,0.00003
simple5.aag,0,0.00,0,1,0.00018,0.00002
simple6.aag,0,0.00,0,1,0.00020,0.00002
simple7.aag,1,1.00,0,2,0.00054,0.00002
simple\_counters.aig,3,1.79,7,79,0.09987,0.00100
simpler\_counters.aig,2,1.00,1,17,0.00247,0.00004
bj08aut1.aig,1,1.00,0,6,0.00876,0.00013
bj08aut5.aig,1,1.00,0,6,0.02700,0.00054
bj08goodbakerycyclef7.aig,1,1.00,0,2,0.57022,0.00462
neclaftp5001.aig,5,1.00,0,98,0.34549,0.00165
neclaftp5002.aig,5,1.00,0,98,0.34268,0.00198
pdtvisblackjack0.aig,1,1.00,0,107,4.95965,0.02993
pdtvisblackjack1.aig,1,1.00,0,107,4.96841,0.03178
pdtvisblackjack2.aig,1,1.00,0,107,4.99453,0.03150
pdtvisblackjack3.aig,1,1.00,0,107,5.00022,0.02670
pdtvisblackjack4.aig,1,1.00,0,107,4.95597,0.01815
pdtvisbpb1.aig,5,1.00,0,227,4.42824,0.01753
pdtvisgray0.aig,3,1.00,0,16,0.00498,0.00033
pdtvisgray1.aig,3,1.00,0,16,0.00418,0.00041
pdtvisheap04.aig,5,1.00,0,80,1.28119,0.06245
pdtvisheap07.aig,5,1.00,0,80,1.26690,0.00705
pdtvisheap11.aig,5,1.00,0,80,1.27137,0.00751
pdtvishuffman2.aig,11,1.00,0,505,7.06688,0.03908
pdtvishuffman5.aig,0,0.00,0,1,0.01468,0.00081
pdtvisrethersqo3.aig,0,0.00,0,1,0.01223,0.00086
pdtvistictactoe00.aig,4,1.00,0,70,0.84192,0.01036
pdtvistictactoe01.aig,0,0.00,0,1,0.01325,0.00062
pdtvistictactoe03.aig,0,0.00,0,1,0.01321,0.00065
pdtvistictactoe04.aig,0,0.00,0,1,0.01324,0.00077
pdtvistictactoe05.aig,0,0.00,0,1,0.01320,0.00074
pdtvistictactoe06.aig,0,0.00,0,1,0.01317,0.00062
pdtvistictactoe07.aig,0,0.00,0,1,0.01319,0.00065
pdtvistictactoe08.aig,0,0.00,0,1,0.01318,0.00078
pdtvistictactoe09.aig,0,0.00,0,1,0.01337,0.00088
pdtvistictactoe11.aig,4,1.00,0,70,0.86201,0.01066
pdtvistictactoe12.aig,4,1.00,0,70,0.85858,0.01042
pdtvistwo0.aig,2,1.00,0,59,0.32532,0.00581
pdtvistwo1.aig,2,1.00,0,59,0.31054,0.00505
pdtvisvending03.aig,6,1.00,0,87,1.18586,0.01930
pdtvisvending06.aig,6,1.00,0,87,1.16866,0.01042
pdtvisvsar02.aig,7,1.00,0,538,16.59315,0.09505
pdtvisvsar18.aig,7,1.00,0,538,16.74249,0.08761
shortp0.aig,3,1.78,3,49,0.11530,0.00237
shortp0neg.aig,2,1.00,1,21,0.02495,0.00117
srg5ptimoneg.aig,2,1.00,1,54,0.23408,0.00235
texasifetch1p1.aig,7,1.00,0,172,1.49728,0.01558
texasifetch1p3.aig,7,1.00,0,172,1.49405,0.01516
viselevatorp1.aig,5,1.00,0,81,1.28970,0.01460
6s40p1.aig,0,0.00,0,1,0.50789,0.00254
6s40p2.aig,0,0.00,0,1,0.50274,0.00295
bobmiterbm1or.aig,0,0.00,0,1,0.04754,0.00100
bobsynth00neg.aig,0,0.00,0,1,0.27934,0.01959
bobtuint06.aig,0,0.00,0,1,0.04026,0.00657
pdtpmstwo.aig,2,1.00,0,200,2.32845,0.12187
pdtvsar8multip24.aig,7,1.00,0,805,98.40888,1.53823
pdtvsar8multip26.aig,7,1.00,0,805,2.32845,0.12187
6s318r.aig,2,1.00,1,673,98.40888,1.53823
counterp0.aig,4,5.67,24,285,0.51207,0.00407
counterp0neg.aig,4,6.13,26,313,0.57826,0.00331
pdtvishuffman7.aig,5,1.12,10,317,4.37308,0.05090
pdtvismiim3.aig,12,1.06,18,811,10.21632,0.07314
srg5ptimo.aig,3,4.28,23,259,0.78126,0.01102